canonical_country_code,canonical_country_name,year,uis_upper_secondary_attainment_rate_25plus,wdi_gdp_per_capita_current_usd,wgi_government_effectiveness,who_life_expectancy_at_birth_both_sexes
AFG,Afghanistan,2015,9.792360305786133,565.5697304087512,-1.4711716,60.33
AFG,AFG,2016,,522.0822155838985,-1.41773019999999,60.39
AFG,Afghanistan,2017,11.7771822147423,525.4697708916185,-1.4421872,60.88
AFG,AFG,2018,,491.3372213826032,-1.6312498,60.49
AFG,AFG,2019,,496.6025042584997,-1.65408049999999,61.22
AFG,Afghanistan,2020,11.8347043333891,510.78706336681074,-1.7167282,60.49
AFG,Afghanistan,2021,9.461310386657715,356.49621411589226,-1.7059035,59.13
ALB,Albania,2015,48.1863617042111,4199.539129253976,0.1835585,77.77
ALB,Albania,2016,46.9844844692678,4457.634122074947,0.1974461,77.88
ALB,Albania,2017,46.35334014892578,5006.360129519591,0.256049,77.91
ALB,Albania,2018,49.8858232395536,5897.654525887742,0.2684643,77.94
ALB,Albania,2019,50.7128654950488,6069.439031310275,0.0266494,77.94
ALB,Albania,2020,51.0498413335601,6027.913507163485,0.0187103,76.53
ALB,Albania,2021,51.8425099304159,7242.455131466127,0.1116368,76.39
CHN,CHN,2015,,8175.332850773929,0.5336101,76.51
CHN,CHN,2016,,8254.868593203568,0.543189,76.72
CHN,CHN,2017,,8979.676527098563,0.5787617,76.95
CHN,CHN,2018,,10085.663814881918,0.5311035,77.14
CHN,CHN,2019,,10342.90095243346,0.6706547,77.31
CHN,China,2020,31.76979064941406,10627.463798961868,0.5674972,77.48
CHN,CHN,2021,,12887.435724294062,0.6669456,77.62
GBR,GBR,2015,,45256.04022705699,1.6362652,80.66
GBR,GBR,2016,,41258.5374285695,1.6528388,80.81
GBR,United Kingdom of Great Britain and Northern Ireland,2017,77.11173248291016,40918.05208709441,1.5660677,80.92
GBR,GBR,2018,,43704.316229668715,1.5248207,80.62
GBR,GBR,2019,,43160.684397179866,1.3966716,81.22
GBR,United Kingdom of Great Britain and Northern Ireland,2020,79.9111328125,40815.125536478736,1.3728014,80.14
GBR,United Kingdom of Great Britain and Northern Ireland,2021,80.46420288085938,47695.64915234745,1.3289695,80.1
IND,IND,2015,,1583.998159079848,0.3968483,69.38
IND,IND,2016,,1707.5089291224338,0.3761225,69.78
IND,IND,2017,,1950.1046828086635,0.3527821,70.06
IND,India,2018,32.34334945678711,1966.254551716789,0.5015296,70.35
IND,IND,2019,,2041.4286369858535,0.5054858,70.73
IND,India,2020,31.70944976806641,1907.042516376687,0.3492894,70.19
IND,IND,2021,,2239.6138436748224,0.2400136,67.31
PAK,Pakistan,2015,25.4954239952493,1380.4702083831723,-0.6105847,65.7
PAK,Pakistan,2016,24.6280665280156,1424.6916119589737,-0.5304516,66.05
PAK,Pakistan,2017,27.2532901763916,1519.2345951424784,-0.4213336,66.38
PAK,Pakistan,2018,26.0640049316992,1569.3381462635487,-0.507337599999999,66.74
PAK,PAK,2019,,1390.416909817447,-0.4968027,67.03
PAK,PAK,2020,,1278.3973520689553,-0.614966799999999,65.85
PAK,PAK,2021,,1455.3192237018598,-0.5170351,65.99
USA,United States of America,2015,88.41197204589844,56849.46979231594,1.5727519,78.61
USA,United States of America,2016,89.09236145019531,57976.62820429104,1.5920786,78.56
USA,United States of America,2017,89.81413269042969,60047.71907283069,1.5989168,78.5
USA,United States of America,2018,89.80535888671875,62875.66613827284,1.6426557,78.63
USA,United States of America,2019,94.6938014055522,65227.95659110383,1.5492277,78.74
USA,United States of America,2020,90.94052124023438,64465.297141574825,1.4026997,76.89
USA,United States of America,2021,91.31336212158203,71441.23198059468,1.4427774,76.37
