country_code,country_name,year,uis_adult_literacy_rate,uis_education_expenditure_pct_gdp,uis_education_expenditure_pct_government_expenditure,uis_lower_secondary_attainment_rate_25plus,uis_lower_secondary_completion_rate,uis_out_of_school_rate_lower_secondary_age,uis_out_of_school_rate_primary_age,uis_pre_primary_net_enrolment_rate,uis_primary_completion_rate,uis_pupil_qualified_teacher_ratio_primary,uis_pupil_trained_teacher_ratio_primary,uis_tertiary_gross_enrolment_ratio,uis_upper_secondary_attainment_rate_25plus,uis_upper_secondary_completion_rate,uis_youth_literacy_rate
AFG,Afghanistan,2015,33.75,3.255789995193481,12.50899982452393,13.12580966949463,36.62345123291016,,,,54.48463821411133,,,,9.792360305786133,22.69832038879395,35.81999969482422
AFG,Afghanistan,2016,,4.543960094451904,16.21170043945313,,,,,,,58.64962005615234,,,,,
AFG,Afghanistan,2017,,4.34319019317627,15.66137981414795,16.0005597959488,,,,,,63.12466049194336,,,11.7771822147423,,
AFG,Afghanistan,2018,,,,,,,,,,61.70772171020508,,9.995920181274414,,,
AFG,Afghanistan,2019,,,,,,,,,,60.38653945922852,,,,,
AFG,Afghanistan,2020,36.0149650316607,,,14.4413221582297,,,,,,,,10.85435962677002,11.8347043333891,,53.9721805049471
AFG,Afghanistan,2021,37.27000045776367,,,11.63191986083984,,,,,,,,,9.461310386657715,,55.93000030517578
ALB,Albania,2015,,3.413000106811523,11.17755031585693,88.646190231805,,0.453110009431839,0.1757774316032899,73.37628241376525,,24.66557548775697,,61.96084854810508,48.1863617042111,,
ALB,Albania,2016,,3.919970035552979,13.59696006774902,89.3892642763519,,0.7102400064468384,0.1161278973541249,76.79102146908593,,22.66649835900025,,58.48847919011894,46.9844844692678,,
ALB,Albania,2017,98.80999755859375,3.546730041503906,12.38521003723145,90.2046509794936,93.55213165283203,4.994349956512451,0.6870004212935716,77.39301829969885,95.4015884399414,21.33186920448999,,58.01778366749286,46.35334014892578,60.51953125,99.0199966430664
ALB,Albania,2018,,3.082013704073892,10.88173224365852,90.2688350163581,,1.20904085884402,1.367461723182972,75.53486820808114,,21.01611316113161,,56.08029641099375,49.8858232395536,,
ALB,Albania,2019,,3.870179891586304,13.43340015411377,90.7103196946053,,2.058771401226472,2.194854429261102,45.2658324462209,,19.39236393176279,,61.40851415271417,50.7128654950488,,
ALB,Albania,2020,,3.325050115585327,10.26743030548096,91.9102782676077,,2.793325079878126,3.967659950256348,46.19284544652979,,19.8640372366487,,61.58530243288988,51.0498413335601,,
ALB,Albania,2021,,3.005559921264648,9.40900993347168,91.8594948155496,,2.6330679506513,6.665237366003063,74.91001716595603,,20.24106230847804,26.35544472152951,59.96986901255619,51.8425099304159,,
CHN,China,2015,,,,,,,,,,16.84587233862574,,47.11926193307257,,,
CHN,China,2016,,,,,90.58,,,,96.36,17.11939808192529,,49.30907737559703,,61.23,
CHN,China,2017,,,,,,,,,,17.19573108740568,,51.06788122734075,,,
CHN,China,2018,,,,,90.26860809326172,,,,97.75927734375,17.01578876869917,,53.39879845728142,,74.99413299560547,
CHN,China,2019,,,,,,,,,,17.01018317598638,,56.60509179232918,,,
CHN,China,2020,96.73999786376953,,,72.40013885498047,95.74000000000001,,,,99.19,16.88545346744066,,61.61246759969473,31.76979064941406,87.52,99.76000213623047
CHN,China,2021,,,,,,,,,,16.70711367447043,,66.81860775975416,,,
GBR,United Kingdom of Great Britain and Northern Ireland,2015,,5.554530143737793,13.48701000213623,,99.95,1.585759997367859,1.450970053672791,96.7912826538086,99.97500000000001,,,56.44612884521484,,84.26,
GBR,United Kingdom of Great Britain and Northern Ireland,2016,,5.42795991897583,13.42720985412598,,99.71,,1.269760012626648,,99.855,,,58.08386993408203,,82.97,
GBR,United Kingdom of Great Britain and Northern Ireland,2017,,5.452549934387207,13.7579402923584,99.74781799316406,99.41,1.283310055732727,0.7758100032806396,,99.705,,,59.62820816040039,77.11173248291016,83.3,
GBR,United Kingdom of Great Britain and Northern Ireland,2018,,5.204380035400391,13.29176044464111,,99.59,1.791829943656921,0.3090099990367889,,99.795,,,61.13777160644531,,82.74000000000001,
GBR,United Kingdom of Great Britain and Northern Ireland,2019,,5.261169910430908,13.53487014770508,,99.59,1.780310034751892,0.0524999983608723,,99.795,,,65.51199340820312,,84.47,
GBR,United Kingdom of Great Britain and Northern Ireland,2020,,5.43936014175415,14.03225994110107,99.80259704589844,,1.128509998321533,0.0262899994850159,,,,,69.40766143798828,79.9111328125,,
GBR,United Kingdom of Great Britain and Northern Ireland,2021,,5.906819820404053,11.81680011749268,99.81484985351562,,1.086490035057068,0.0336199998855591,,,,,76.75435638427734,80.46420288085938,,
IND,India,2015,,4.114560127258301,15.69221973419189,,,,,,,,,27.28456770759782,,,
IND,India,2016,,4.254069805145264,15.72150039672852,42.09841156005859,81.00148010253906,,4.106806475551278,,91.59638214111328,40.02383041381836,50.6688117980957,27.30435738576427,,43.03144073486328,90.29000091552734
IND,India,2017,,4.305439949035645,15.80976963043213,,,,6.03077755187412,,,36.65589141845703,46.89825820922852,27.90905190493345,,,
