canonical_country_code,canonical_country_name,year,wdi_gdp_per_capita_current_usd,wgi_control_corruption,wgi_government_effectiveness,who_life_expectancy_at_birth_both_sexes
AFG,AFG,2015,565.5697304087512,-1.5195275,-1.4711716,60.33
AFG,AFG,2016,522.0822155838985,-1.56501159999999,-1.41773019999999,60.39
AFG,AFG,2017,525.4697708916185,-1.54351939999999,-1.4421872,60.88
AFG,AFG,2018,491.3372213826032,-1.5398439,-1.6312498,60.49
AFG,AFG,2019,496.6025042584997,-1.5013636,-1.65408049999999,61.22
AFG,AFG,2020,510.78706336681074,-1.40089,-1.7167282,60.49
AFG,AFG,2021,356.49621411589226,-1.22202489999999,-1.7059035,59.13
ALB,ALB,2015,4199.539129253976,-0.5865235,0.1835585,77.77
ALB,ALB,2016,4457.634122074947,-0.5061985,0.1974461,77.88
ALB,ALB,2017,5006.360129519591,-0.5663593,0.256049,77.91
ALB,ALB,2018,5897.654525887742,-0.587108899999999,0.2684643,77.94
ALB,ALB,2019,6069.439031310275,-0.5384935,0.0266494,77.94
ALB,ALB,2020,6027.913507163485,-0.6594306,0.0187103,76.53
ALB,ALB,2021,7242.455131466127,-0.60203,0.1116368,76.39
CHN,CHN,2015,8175.332850773929,-0.1750814,0.5336101,76.51
CHN,CHN,2016,8254.868593203568,-0.092968,0.543189,76.72
CHN,CHN,2017,8979.676527098563,-0.0492492,0.5787617,76.95
CHN,CHN,2018,10085.663814881918,-0.0701512,0.5311035,77.14
CHN,CHN,2019,10342.90095243346,-0.0496157999999999,0.6706547,77.31
CHN,CHN,2020,10627.463798961868,0.0531167,0.5674972,77.48
CHN,CHN,2021,12887.435724294062,0.0556852,0.6669456,77.62
GBR,GBR,2015,45256.04022705699,1.6542704,1.6362652,80.66
GBR,GBR,2016,41258.5374285695,1.7599161,1.6528388,80.81
GBR,GBR,2017,40918.05208709441,1.8161165,1.5660677,80.92
GBR,GBR,2018,43704.316229668715,1.8043714,1.5248207,80.62
GBR,GBR,2019,43160.684397179866,1.7674285,1.3966716,81.22
GBR,GBR,2020,40815.125536478736,1.7210258,1.3728014,80.14
GBR,GBR,2021,47695.64915234745,1.6641761,1.3289695,80.1
IND,IND,2015,1583.998159079848,-0.3449931,0.3968483,69.38
IND,IND,2016,1707.5089291224338,-0.2852229,0.3761225,69.78
IND,IND,2017,1950.1046828086635,-0.2244224,0.3527821,70.06
IND,IND,2018,1966.254551716789,-0.2079644,0.5015296,70.35
IND,IND,2019,2041.4286369858535,-0.2183329,0.5054858,70.73
IND,IND,2020,1907.042516376687,-0.254487099999999,0.3492894,70.19
IND,IND,2021,2239.6138436748224,-0.300757,0.2400136,67.31
PAK,PAK,2015,1380.4702083831723,-0.981116999999999,-0.6105847,65.7
PAK,PAK,2016,1424.6916119589737,-0.9729255,-0.5304516,66.05
PAK,PAK,2017,1519.2345951424784,-0.935033999999999,-0.4213336,66.38
PAK,PAK,2018,1569.3381462635487,-0.9640896,-0.507337599999999,66.74
PAK,PAK,2019,1390.416909817447,-0.9714617,-0.4968027,67.03
PAK,PAK,2020,1278.3973520689553,-0.9370003,-0.614966799999999,65.85
PAK,PAK,2021,1455.3192237018598,-0.906181199999999,-0.5170351,65.99
USA,USA,2015,56849.46979231594,1.2367604,1.5727519,78.61
USA,USA,2016,57976.62820429104,1.2420313,1.5920786,78.56
USA,USA,2017,60047.71907283069,1.3058193,1.5989168,78.5
USA,USA,2018,62875.66613827284,1.2504255,1.6426557,78.63
USA,USA,2019,65227.95659110383,1.1719722,1.5492277,78.74
USA,USA,2020,64465.297141574825,1.124297,1.4026997,76.89
USA,USA,2021,71441.23198059468,1.1247591,1.4427774,76.37
