canonical_country_code,canonical_country_name,year,wdi_gdp_per_capita_current_usd,wgi_government_effectiveness
AFG,AFG,2015,565.5697304087512,-1.4711716
AFG,AFG,2016,522.0822155838985,-1.41773019999999
AFG,AFG,2017,525.4697708916185,-1.4421872
AFG,AFG,2018,491.3372213826032,-1.6312498
AFG,AFG,2019,496.6025042584997,-1.65408049999999
AFG,AFG,2020,510.78706336681074,-1.7167282
AFG,AFG,2021,356.49621411589226,-1.7059035
ALB,ALB,2015,4199.539129253976,0.1835585
ALB,ALB,2016,4457.634122074947,0.1974461
ALB,ALB,2017,5006.360129519591,0.256049
ALB,ALB,2018,5897.654525887742,0.2684643
ALB,ALB,2019,6069.439031310275,0.0266494
ALB,ALB,2020,6027.913507163485,0.0187103
ALB,ALB,2021,7242.455131466127,0.1116368
CHN,CHN,2015,8175.332850773929,0.5336101
CHN,CHN,2016,8254.868593203568,0.543189
CHN,CHN,2017,8979.676527098563,0.5787617
CHN,CHN,2018,10085.663814881918,0.5311035
CHN,CHN,2019,10342.90095243346,0.6706547
CHN,CHN,2020,10627.463798961868,0.5674972
CHN,CHN,2021,12887.435724294062,0.6669456
GBR,GBR,2015,45256.04022705699,1.6362652
GBR,GBR,2016,41258.5374285695,1.6528388
GBR,GBR,2017,40918.05208709441,1.5660677
GBR,GBR,2018,43704.316229668715,1.5248207
GBR,GBR,2019,43160.684397179866,1.3966716
GBR,GBR,2020,40815.125536478736,1.3728014
GBR,GBR,2021,47695.64915234745,1.3289695
IND,IND,2015,1583.998159079848,0.3968483
IND,IND,2016,1707.5089291224338,0.3761225
IND,IND,2017,1950.1046828086635,0.3527821
IND,IND,2018,1966.254551716789,0.5015296
IND,IND,2019,2041.4286369858535,0.5054858
IND,IND,2020,1907.042516376687,0.3492894
IND,IND,2021,2239.6138436748224,0.2400136
PAK,PAK,2015,1380.4702083831723,-0.6105847
PAK,PAK,2016,1424.6916119589737,-0.5304516
PAK,PAK,2017,1519.2345951424784,-0.4213336
PAK,PAK,2018,1569.3381462635487,-0.507337599999999
PAK,PAK,2019,1390.416909817447,-0.4968027
PAK,PAK,2020,1278.3973520689553,-0.614966799999999
PAK,PAK,2021,1455.3192237018598,-0.5170351
USA,USA,2015,56849.46979231594,1.5727519
USA,USA,2016,57976.62820429104,1.5920786
USA,USA,2017,60047.71907283069,1.5989168
USA,USA,2018,62875.66613827284,1.6426557
USA,USA,2019,65227.95659110383,1.5492277
USA,USA,2020,64465.297141574825,1.4026997
USA,USA,2021,71441.23198059468,1.4427774
