country_code,country_name,year,wgi_control_corruption,wgi_government_effectiveness,wgi_political_stability,wgi_regulatory_quality,wgi_rule_of_law,wgi_voice_accountability
AFG,AFG,2015,-1.5195275,-1.4711716,-2.48125299999999,-1.06718849999999,-1.6427748,-1.20990209999999
AFG,AFG,2016,-1.56501159999999,-1.41773019999999,-2.4834928,-1.36089939999999,-1.580107,-1.2164992
AFG,AFG,2017,-1.54351939999999,-1.4421872,-2.61393089999999,-1.4164481,-1.59509909999999,-1.2397194
AFG,AFG,2018,-1.5398439,-1.6312498,-2.5824048,-1.3029823,-1.66687379999999,-1.1858104
AFG,AFG,2019,-1.5013636,-1.65408049999999,-2.5893714,-1.2762178,-1.65715489999999,-1.1404758
AFG,AFG,2020,-1.40089,-1.7167282,-2.5896897,-1.3026506,-1.65566449999999,-1.081484
AFG,AFG,2021,-1.22202489999999,-1.7059035,-2.4506389,-1.40994469999999,-1.7202682,-1.42797209999999
ALB,ALB,2015,-0.5865235,0.1835585,0.1252711,0.0444083,-0.2267931,0.0763576
ALB,ALB,2016,-0.5061985,0.1974461,0.1659701,0.0642829999999999,-0.2061558,0.0737892
ALB,ALB,2017,-0.5663593,0.256049,0.1638298,0.1105237,-0.2057486,0.1067553
ALB,ALB,2018,-0.587108899999999,0.2684643,0.1502032,0.1139598,-0.1743527,0.1354782
ALB,ALB,2019,-0.5384935,0.0266494,0.00437499999999999,0.0917374,-0.291428099999999,0.0967645999999999
ALB,ALB,2020,-0.6594306,0.0187103,-0.0049854,-0.0195592999999999,-0.256738199999999,0.0554688
ALB,ALB,2021,-0.60203,0.1116368,0.0239536,-0.0049463,-0.2015586,-0.000404299999999999
CHN,CHN,2015,-0.1750814,0.5336101,-0.5462433,-0.1789518,-0.6620808,-1.3924056
CHN,CHN,2016,-0.092968,0.543189,-0.501441799999999,-0.147913799999999,-0.6211726,-1.3897969
CHN,CHN,2017,-0.0492492,0.5787617,-0.203288,-0.0708427,-0.5354403,-1.3804523
CHN,CHN,2018,-0.0701512,0.5311035,-0.237003599999999,-0.0905581,-0.5204445,-1.4520217
CHN,CHN,2019,-0.0496157999999999,0.6706547,-0.138588699999999,-0.0619233999999999,-0.5515574,-1.5025339
CHN,CHN,2020,0.0531167,0.5674972,-0.302661299999999,-0.0666201,-0.5093696,-1.54226819999999
CHN,CHN,2021,0.0556852,0.6669456,-0.259168,-0.0246937,-0.5386195,-1.61369489999999
GBR,GBR,2015,1.6542704,1.6362652,0.537112,1.8137278,1.6608814,1.4627829
GBR,GBR,2016,1.7599161,1.6528388,0.4498582,1.6810285,1.6131954,1.468304
GBR,GBR,2017,1.8161165,1.5660677,0.4406625,1.6694233,1.6084241,1.4237022
GBR,GBR,2018,1.8043714,1.5248207,0.2825929,1.6748823,1.4854975,1.3755468
GBR,GBR,2019,1.7674285,1.3966716,0.5681497,1.7134917,1.4384752,1.3077601
GBR,GBR,2020,1.7210258,1.3728014,0.5102213,1.6013639,1.3554927,1.3173309
GBR,GBR,2021,1.6641761,1.3289695,0.4363658,1.600758,1.3061844,1.2930083
IND,IND,2015,-0.3449931,0.3968483,-0.7619187,-0.3303195,-0.1374229,0.2973847
IND,IND,2016,-0.2852229,0.3761225,-0.7362183,-0.2535746,-0.0823440999999999,0.304626
IND,IND,2017,-0.2244224,0.3527821,-0.572111399999999,-0.215826699999999,-0.0399917,0.2554492
IND,IND,2018,-0.2079644,0.5015296,-0.6785888,-0.1555625,0.020334,0.2032286
IND,IND,2019,-0.2183329,0.5054858,-0.590466199999999,-0.0981205,-0.0201063,0.1106301
IND,IND,2020,-0.254487099999999,0.3492894,-0.720631199999999,-0.1486534,-0.1029725,0.056762
IND,IND,2021,-0.300757,0.2400136,-0.6015988,-0.169914899999999,-0.1841026,-0.0956843999999999
PAK,PAK,2015,-0.981116999999999,-0.6105847,-2.4299435,-0.6860082,-0.914828299999999,-0.8331014
PAK,PAK,2016,-0.9729255,-0.5304516,-2.3350493,-0.6596324,-0.9129583,-0.823811499999999
PAK,PAK,2017,-0.935033999999999,-0.4213336,-2.2184098,-0.664221899999999,-0.865480199999999,-0.8186114
PAK,PAK,2018,-0.9640896,-0.507337599999999,-1.9857782,-0.662304799999999,-0.8396216,-0.8294349
PAK,PAK,2019,-0.9714617,-0.4968027,-1.9293422,-0.620266299999999,-0.8122676,-0.9036869
PAK,PAK,2020,-0.9370003,-0.614966799999999,-1.5881564,-0.7006155,-0.812966099999999,-0.8727743
PAK,PAK,2021,-0.906181199999999,-0.5170351,-1.6496402,-0.6543467,-0.8231206,-0.9211047
USA,USA,2015,1.2367604,1.5727519,0.6658794,1.2919442,1.3770167,1.2887597
USA,USA,2016,1.2420313,1.5920786,0.3279152,1.4076516,1.3971578,1.2417637
USA,USA,2017,1.3058193,1.5989168,0.1101294,1.509025,1.3200336,1.1236482
USA,USA,2018,1.2504255,1.6426557,0.2904961,1.484217,1.1721068,1.0530998
USA,USA,2019,1.1719722,1.5492277,0.0546375,1.3675576,1.1235175,1.0249835
USA,USA,2020,1.124297,1.4026997,-0.146807,1.2778639,1.0043814,0.9561038
USA,USA,2021,1.1247591,1.4427774,-0.126399999999999,1.4642419,1.0279752,0.8877304
