country_code,country_name,year,who_adult_mortality_per_1000,who_adult_obesity_pct,who_alcohol_consumption_litres_per_capita,who_child_overweight_pct,who_child_stunting_pct,who_dtp3_immunization_pct,who_hale_birth_years,who_health_expenditure_pct_gdp,who_health_expenditure_per_capita_usd,who_hepatitis_b_under5_pct,who_hospital_beds_per_10000,who_insufficient_physical_activity_pct,who_life_expectancy_birth_years,who_maternal_mortality_per_100k,who_mcv1_immunization_pct,who_medical_doctors_per_10000,who_neonatal_mortality_per_1000_live_births,who_nursing_midwifery_per_10000,who_pm25_exposure,who_premature_ncd_mortality_pct,who_road_traffic_mortality_per_100k,who_safely_managed_sanitation_pct,who_safely_managed_water_pct,who_skilled_birth_attendance_pct,who_suicide_rate_per_100k,who_tuberculosis_incidence_per_100k,who_uhc_service_coverage_index,who_under5_mortality_per_1000_live_births
AFG,AFG,1957,,,,,,,,,,,,,,,,,,,,,,,,,,,,368.196610358
AFG,AFG,1958,,,,,,,,,,,,,,,,,,,,,,,,,,,,362.068536368
AFG,AFG,1959,,,,,,,,,,,,,,,,,,,,,,,,,,,,356.445237823
AFG,AFG,1960,,,,,,,,,,,,,,,,,,,,,,,,,,,,350.550811098
AFG,AFG,1961,,,,,,,,,,,,,,,,,,,,,,,,,,,,345.193254418
AFG,AFG,1962,,,,,,,,,,,,,,,,,,,,,,,,,,,,340.16288192
AFG,AFG,1963,,,,,,,,,,,,,,,,,,,,,,,,,,,,334.982342669
AFG,AFG,1964,,,,,,,,,,,,,,,,,,,,,,,,,,,,329.747572685
AFG,AFG,1965,,,,,,,,,,,,,,,,,,,,,,,,,,,,324.479101546
AFG,AFG,1966,,,,,,,,,,,,,,,,,,,,,,,,,,,,319.532520546
AFG,AFG,1967,,,,,,,,,,,,,,,,,,,,,,,,,,,,314.84011823
AFG,AFG,1968,,,,,,,,,,,,,,,,,,,,,,,,,,,,310.011140165
AFG,AFG,1969,,,,,,,,,,,,,,,,,,,,,,,,,,,,304.920851529
AFG,AFG,1970,,,,,,,,,,,,,,,,,,,,,,,,,,,,300.047739631
AFG,AFG,1971,,,,,,,,,,,,,,,,,,,,,,,,,,,,344.286485974
AFG,AFG,1972,,,,,,,,,,,,,,,,,,,,,,,,,,,,337.91013725
AFG,AFG,1973,,,,,,,,,,,,,,,,,,,,,,,,,,,,284.746880208
AFG,AFG,1974,,,,,,,,,,,,,,,,,,,,,,,,,,,,279.501207191
AFG,AFG,1975,,,,,,,,,,,,,,,,,,,,,,,,,,,,274.217995757
AFG,AFG,1976,,,,,,,,,,,,,,,,,,,,,,,,,,,,268.646042801
AFG,AFG,1977,,,,,,,,,,,,,,,,,,,,,,,,,,,,262.877697241
AFG,AFG,1978,,,,,,,,,,,,,,,,,,,,,,,,,,,,256.940651756
AFG,AFG,1979,,,,,,,,,,,,,,,,,,,,,,,,,,,,251.108891966
AFG,AFG,1980,,0.97484551,,,,,,,,,,,,,,,,,,,,,,,,,,245.161603903
AFG,AFG,1981,,1.0439184,,,,,,,,,,,,,,,,,,,,,,,,,,239.011378681
AFG,AFG,1982,,1.1198486,,,,,,,,,,,,,,,,,,,,,,,,,,277.035182071
AFG,AFG,1983,,1.2030833,,,,,,,,,,,,,,,,,,,,,,,,,,271.190071032
AFG,AFG,1984,,1.2941842,,,,,,,,,,,,,,,,,,,,,,,,,,303.820358179
AFG,AFG,1985,,1.3935842,,,,,,,,,,,,2231.506208,,,,,,,,,,,,,,296.047445135
AFG,AFG,1986,,1.5013812,,,,,,,,,,,,1856.920758,,,,,,,,,,,,,,250.47589474
AFG,AFG,1987,,1.6181033,,,,,,,,,,,,1820.591314,,,81.035735352,,,,,,,,,,,244.224517141
AFG,AFG,1988,,1.7447693,,,,,,,,,,,,1571.692582,,,78.801416381,,,,,,,,,,,194.298539266
AFG,AFG,1989,,1.8819038,,,,,,,,,,,,1520.027486,,,77.265036901,,,,,,,,,,,187.781604787
AFG,AFG,1990,,2.0304004,,,,,,,,,,,,1549.998624,,,75.761244212,,,,,,,,,,,181.384583734
AFG,AFG,1991,,2.191372,,,,,,,,,,,,1534.464445,,,74.243539558,,,,,,,,,,,175.173283456
AFG,AFG,1992,,2.3653883,,,,,,,,,,,,1443.339968,,,72.702504774,,,,,,,,,,,169.131970217
AFG,AFG,1993,,2.5532916,,,,,,,,,,,,1346.506432,,,71.223820184,,,,,,,,,,,163.536368994
AFG,AFG,1994,,2.756534,,,,,,,,,,,,1395.918586,,,69.811234077,,,,,,,,,,,158.272356261
AFG,AFG,1995,,2.9773857,,,,,,,,,,,,1413.953571,,,68.429341338,,,,,,,,,,,153.38482482
AFG,AFG,1996,,3.2171931,,,,,,,,,,,,1389.40267,,,67.121383392,,,,,,,,,,,148.773595777
AFG,AFG,1997,,3.4780506,,,,,,,,,,,,1375.644881,,,65.90528189,,,,,,,,,,,144.409539645
AFG,AFG,1998,,3.7615426,,,,,,,,,,,,1463.575532,,,64.691227663,,,,,,,,,,,140.162392712
AFG,AFG,1999,,4.0679425,,,,,,,,,,,,1346.174482,,,63.410401851,,,,,,,,,,,135.953639489
AFG,AFG,2000,378.1947584,4.3979093,0.00338867,4.8,55.5,24.0,46.02795049,,,,,22.208981,53.82332641,1371.645908,27.0,,62.176778194,,,43.2,,10.132091955,11.483052603,,7.18571671,148.0,30.0,131.707237184
AFG,AFG,2001,380.3377973,4.7510229,0.00338867,4.9,55.2,33.0,46.11612077,,,,,22.551735,53.91018761,1310.954923,37.0,2.02,60.881464165,,,43.5,,10.131490499,11.49520076,,7.270323099,175.0,31.0,127.479861753
AFG,AFG,2002,367.4595499,5.1281855,0.003952935,4.9,54.4,36.0,47.18485205,9.44339085,16.70697403,,,22.911697,55.15447775,1262.516681,35.0,,59.566755104,,,43.1,,10.853967147,12.298100233,,7.112669854,197.0,32.0,123.073446981
AFG,AFG,2003,353.4080104,5.529144,0.005954566,5.0,53.4,41.0,47.97795335,8.94125843,17.74602509,,,23.287958,56.08520691,1201.38145,39.0,,58.238948419,,,42.5,,11.576334568,13.100749903,14.0,7.043811425,215.0,33.0,118.547496516
AFG,AFG,2004,345.6656442,5.95438,0.008932828,5.0,52.4,50.0,48.32476083,9.80847359,21.42300415,,,23.680201,56.47652053,1166.469374,48.0,,56.831539034,,,42.3,,12.298130971,13.910266555,,7.025987348,228.0,34.0,113.944019412
AFG,AFG,2005,343.1738357,6.4047821,0.01302097,5.0,51.3,58.0,48.60924591,9.94828892,25.11388779,,,24.084969,56.79050349,1108.05603,50.0,,55.391228293,6.12,,41.9,,13.019249215,14.726554308,,6.901423338,237.0,35.0,109.329354079
AFG,AFG,2006,342.1524593,6.881465,0.016956882,5.0,50.3,58.0,48.78661975,10.62276554,28.9412632,,,24.506878,56.992143,1069.436333,53.0,1.66,53.927266818,4.58,,41.1,,13.740117504,15.542416981,,6.597560507,242.0,35.0,104.807773176
AFG,AFG,2007,338.5609265,7.3859014,0.018737782,5.0,49.0,63.0,49.00634401,9.90467453,32.70893097,,,24.961794,57.2548387,1032.007881,55.0,1.82,52.446781769,5.18,,40.5,,14.429987285,16.650249718,,6.469879492,241.0,36.0,100.374320592
AFG,AFG,2008,328.839874,7.9184458,0.019294278,4.9,47.8,64.0,49.54812824,10.25649548,39.88624954,,,25.430117,57.9008556,955.2373281,59.0,1.83,50.91087463,5.2,,39.6,,15.11708388,17.554294327,,6.299732987,235.0,36.0,96.086914451
AFG,AFG,2009,319.5729751,8.4791057,0.042861474,4.9,46.5,63.0,50.07140251,9.81848717,43.13351822,,,25.900749,58.52946588,925.4222917,60.0,2.2,49.436841672,6.28,,38.3,,15.801493841,18.389792868,,5.887666566,229.0,37.0,91.880708967
AFG,AFG,2010,314.119226,9.0678148,0.073829323,4.9,45.3,66.0,50.47166603,8.56967163,46.42438889,,,26.389519,59.00377167,892.7351444,62.0,2.44,47.960066745,,76.08127456,37.6,,16.420529527,19.224721735,34.0,5.729084361,218.0,38.0,87.956715295
AFG,AFG,2011,307.5688819,9.6882232,0.103777492,4.8,44.3,68.0,50.93310189,8.56190777,52.18721771,,4.459632455,26.887529,59.54863714,838.2355187,64.0,2.58,46.538395302,,69.962243047,37.2,,17.036280198,20.059192393,39.0,5.887317932,204.0,36.0,84.293222872
AFG,AFG,2012,304.5062462,10.343581,0.107259045,4.8,43.5,67.0,51.25516665,7.89716864,52.45247269,,4.638737991,27.400879,59.92210578,809.7532045,59.0,2.46,45.178673583,,69.066554052,36.5,,17.648822827,20.893079769,40.0,5.77040254,194.0,37.0,80.814509381
